id,data,moeda_origem,moeda_destino,taxa_cambio
399,2023-03-08,9,1,0.732043
400,2023-03-08,10,6,0.007511
401,2023-03-08,15,1,0.006446
402,2023-03-08,18,1,1.520747
403,2023-03-09,6,1,5.111687
404,2023-03-09,5,1,5.351481
405,2023-03-09,9,1,0.732982
406,2023-03-09,10,6,0.007533
407,2023-03-09,15,1,0.006465
408,2023-03-09,18,1,1.522332
409,2023-03-10,6,1,5.10314
410,2023-03-10,5,1,5.350284
411,2023-03-10,9,1,0.733996
412,2023-03-10,10,6,0.007556
413,2023-03-10,15,1,0.006484
414,2023-03-10,18,1,1.523653
415,2023-03-11,6,1,5.095063
416,2023-03-11,5,1,5.349812
417,2023-03-11,9,1,0.73508
418,2023-03-11,10,6,0.007579
419,2023-03-11,15,1,0.006503
420,2023-03-11,18,1,1.524704
421,2023-03-12,6,1,5.087482
422,2023-03-12,5,1,5.350064
423,2023-03-12,9,1,0.73623
424,2023-03-12,10,6,0.007602
425,2023-03-12,15,1,0.00652
426,2023-03-12,18,1,1.525481
427,2023-03-13,6,1,5.080419
428,2023-03-13,5,1,5.351037
429,2023-03-13,9,1,0.737445
430,2023-03-13,10,6,0.007625
431,2023-03-13,15,1,0.006537
432,2023-03-13,18,1,1.525979
433,2023-03-14,6,1,5.073894
434,2023-03-14,5,1,5.352725
435,2023-03-14,9,1,0.738718
436,2023-03-14,10,6,0.007648
437,2023-03-14,15,1,0.006553
438,2023-03-14,18,1,1.526196
439,2023-03-15,6,1,5.067925
440,2023-03-15,5,1,5.355122
441,2023-03-15,9,1,0.740048
442,2023-03-15,10,6,0.007672
443,2023-03-15,15,1,0.006568
444,2023-03-15,18,1,1.526129
445,2023-03-16,6,1,5.062529
446,2023-03-16,5,1,5.358217
447,2023-03-16,9,1,0.741428
448,2023-03-16,10,6,0.007695
449,2023-03-16,15,1,0.006583
450,2023-03-16,18,1,1.525776
451,2023-03-17,6,1,5.057721
452,2023-03-17,5,1,5.361999
453,2023-03-17,9,1,0.742856
454,2023-03-17,10,6,0.007717
455,2023-03-17,15,1,0.006596
456,2023-03-17,18,1,1.525138
457,2023-03-18,6,1,5.053514
458,2023-03-18,5,1,5.366453
459,2023-03-18,9,1,0.744326
460,2023-03-18,10,6,0.00774
461,2023-03-18,15,1,0.006608
462,2023-03-18,18,1,1.524216
463,2023-03-19,6,1,5.049917
464,2023-03-19,5,1,5.371562
465,2023-03-19,9,1,0.745834
466,2023-03-19,10,6,0.007762
467,2023-03-19,15,1,0.006619
468,2023-03-19,18,1,1.523011
469,2023-03-20,6,1,5.046939
470,2023-03-20,5,1,5.377307
471,2023-03-20,9,1,0.747374
472,2023-03-20,10,6,0.007784
473,2023-03-20,15,1,0.006629
474,2023-03-20,18,1,1.521526
475,2023-03-21,6,1,5.044588
476,2023-03-21,5,1,5.383667
477,2023-03-21,9,1,0.748943
478,2023-03-21,10,6,0.007805
479,2023-03-21,15,1,0.006638
480,2023-03-21,18,1,1.519764
481,2023-03-22,6,1,5.042866
482,2023-03-22,5,1,5.39062
483,2023-03-22,9,1,0.750535
484,2023-03-22,10,6,0.007825
485,2023-03-22,15,1,0.006646
486,2023-03-22,18,1,1.51773
487,2023-03-23,6,1,5.041776
488,2023-03-23,5,1,5.398141
489,2023-03-23,9,1,0.752144
490,2023-03-23,10,6,0.007845
491,2023-03-23,15,1,0.006652
492,2023-03-23,18,1,1.51543
493,2023-03-24,6,1,5.041318
494,2023-03-24,5,1,5.406202
495,2023-03-24,9,1,0.753767
496,2023-03-24,10,6,0.007864
497,2023-03-24,15,1,0.006657
498,2023-03-24,18,1,1.512869
499,2023-03-25,6,1,5.041489
500,2023-03-25,5,1,5.414775
501,2023-03-25,9,1,0.755397
502,2023-03-25,10,6,0.007883
503,2023-03-25,15,1,0.006661
504,2023-03-25,18,1,1.510055
505,2023-03-26,6,1,5.042285
506,2023-03-26,5,1,5.423831
507,2023-03-26,9,1,0.75703
508,2023-03-26,10,6,0.007901
509,2023-03-26,15,1,0.006664
510,2023-03-26,18,1,1.506996
511,2023-03-27,6,1,5.0437
512,2023-03-27,5,1,5.433336
513,2023-03-27,9,1,0.75866
514,2023-03-27,10,6,0.007918
515,2023-03-27,15,1,0.006666
516,2023-03-27,18,1,1.503702
517,2023-03-28,6,1,5.045725
518,2023-03-28,5,1,5.443259
519,2023-03-28,9,1,0.760283
520,2023-03-28,10,6,0.007933
521,2023-03-28,15,1,0.006666
522,2023-03-28,18,1,1.500181
523,2023-03-29,6,1,5.048349
524,2023-03-29,5,1,5.453564
525,2023-03-29,9,1,0.761892
526,2023-03-29,10,6,0.007948
527,2023-03-29,15,1,0.006665
528,2023-03-29,18,1,1.496444
529,2023-03-30,6,1,5.05156
530,2023-03-30,5,1,5.464215
531,2023-03-30,9,1,0.763484
532,2023-03-30,10,6,0.007962
533,2023-03-30,15,1,0.006662
534,2023-03-30,18,1,1.492503
535,2023-03-31,6,1,5.055342
536,2023-03-31,5,1,5.475177
537,2023-03-31,9,1,0.765053
538,2023-03-31,10,6,0.007975
539,2023-03-31,15,1,0.006659
540,2023-03-31,18,1,1.488369
541,2023-04-01,6,1,5.059679
542,2023-04-01,5,1,5.48641
543,2023-04-01,9,1,0.766593
544,2023-04-01,10,6,0.007987
545,2023-04-01,15,1,0.006654
546,2023-04-01,18,1,1.484054
547,2023-04-02,6,1,5.064552
548,2023-04-02,5,1,5.497876
549,2023-04-02,9,1,0.768101
550,2023-04-02,10,6,0.007998
551,2023-04-02,15,1,0.006648
552,2023-04-02,18,1,1.479573
553,2023-04-03,6,1,5.069942
554,2023-04-03,5,1,5.509536
555,2023-04-03,9,1,0.769572
556,2023-04-03,10,6,0.008007
557,2023-04-03,15,1,0.006641
558,2023-04-03,18,1,1.474939
559,2023-04-04,6,1,5.075825
560,2023-04-04,5,1,5.521351
561,2023-04-04,9,1,0.771001
562,2023-04-04,10,6,0.008016
563,2023-04-04,15,1,0.006632
564,2023-04-04,18,1,1.470166
565,2023-04-05,6,1,5.082179
566,2023-04-05,5,1,5.533278
567,2023-04-05,9,1,0.772383
568,2023-04-05,10,6,0.008023
569,2023-04-05,15,1,0.006623
570,2023-04-05,18,1,1.465269
571,2023-04-06,6,1,5.088978
572,2023-04-06,5,1,5.545279
573,2023-04-06,9,1,0.773715
574,2023-04-06,10,6,0.008029
575,2023-04-06,15,1,0.006612
576,2023-04-06,18,1,1.460263
577,2023-04-07,6,1,5.096194
578,2023-04-07,5,1,5.557311
579,2023-04-07,9,1,0.774991
580,2023-04-07,10,6,0.008033
581,2023-04-07,15,1,0.0066
582,2023-04-07,18,1,1.455163
583,2023-04-08,6,1,5.103801
584,2023-04-08,5,1,5.569335
585,2023-04-08,9,1,0.77621
586,2023-04-08,10,6,0.008037
587,2023-04-08,15,1,0.006587
588,2023-04-08,18,1,1.449986
589,2023-04-09,6,1,5.111768
590,2023-04-09,5,1,5.581309
591,2023-04-09,9,1,0.777366
592,2023-04-09,10,6,0.008039
593,2023-04-09,15,1,0.006573
594,2023-04-09,18,1,1.444747
595,2023-04-10,6,1,5.120064
596,2023-04-10,5,1,5.593194
597,2023-04-10,9,1,0.778456
598,2023-04-10,10,6,0.00804
599,2023-04-10,15,1,0.006558
600,2023-04-10,18,1,1.439463
601,2023-04-11,6,1,5.128659
602,2023-04-11,5,1,5.604949
603,2023-04-11,9,1,0.779478
604,2023-04-11,10,6,0.008039
605,2023-04-11,15,1,0.006542
606,2023-04-11,18,1,1.43415
607,2023-04-12,6,1,5.137518
608,2023-04-12,5,1,5.616534
609,2023-04-12,9,1,0.780427
610,2023-04-12,10,6,0.008038
611,2023-04-12,15,1,0.006525
612,2023-04-12,18,1,1.428825
613,2023-04-13,6,1,5.14661
614,2023-04-13,5,1,5.627911
615,2023-04-13,9,1,0.781302
616,2023-04-13,10,6,0.008035
617,2023-04-13,15,1,0.006508
618,2023-04-13,18,1,1.423505
619,2023-04-14,6,1,5.155898
620,2023-04-14,5,1,5.639043
621,2023-04-14,9,1,0.7821
622,2023-04-14,10,6,0.008031
623,2023-04-14,15,1,0.006489
624,2023-04-14,18,1,1.418206
625,2023-04-15,6,1,5.165349
626,2023-04-15,5,1,5.649891
627,2023-04-15,9,1,0.782819
628,2023-04-15,10,6,0.008026
629,2023-04-15,15,1,0.00647
630,2023-04-15,18,1,1.412944
631,2023-04-16,6,1,5.174927
632,2023-04-16,5,1,5.66042
633,2023-04-16,9,1,0.783456
634,2023-04-16,10,6,0.008019
635,2023-04-16,15,1,0.006451
636,2023-04-16,18,1,1.407736
637,2023-04-17,6,1,5.184596
638,2023-04-17,5,1,5.670596
639,2023-04-17,9,1,0.784011
640,2023-04-17,10,6,0.008012
641,2023-04-17,15,1,0.00643
642,2023-04-17,18,1,1.402598
643,2023-04-18,6,1,5.19432
644,2023-04-18,5,1,5.680385
645,2023-04-18,9,1,0.784481
646,2023-04-18,10,6,0.008003
647,2023-04-18,15,1,0.00641
648,2023-04-18,18,1,1.397547
649,2023-04-19,6,1,5.204063
650,2023-04-19,5,1,5.689755
651,2023-04-19,9,1,0.784866
652,2023-04-19,10,6,0.007993
653,2023-04-19,15,1,0.006388
654,2023-04-19,18,1,1.392597
655,2023-04-20,6,1,5.213789
656,2023-04-20,5,1,5.698676
657,2023-04-20,9,1,0.785165
658,2023-04-20,10,6,0.007982
659,2023-04-20,15,1,0.006367
660,2023-04-20,18,1,1.387765
661,2023-04-21,6,1,5.223462
662,2023-04-21,5,1,5.707118
663,2023-04-21,9,1,0.785378
664,2023-04-21,10,6,0.00797
665,2023-04-21,15,1,0.006345
666,2023-04-21,18,1,1.383065
667,2023-04-22,6,1,5.233045
668,2023-04-22,5,1,5.715056
669,2023-04-22,9,1,0.785504
670,2023-04-22,10,6,0.007957
671,2023-04-22,15,1,0.006323
672,2023-04-22,18,1,1.378511
673,2023-04-23,6,1,5.242505
674,2023-04-23,5,1,5.722463
675,2023-04-23,9,1,0.785543
676,2023-04-23,10,6,0.007944
677,2023-04-23,15,1,0.0063
678,2023-04-23,18,1,1.374118
679,2023-04-24,6,1,5.251805
680,2023-04-24,5,1,5.729316
681,2023-04-24,9,1,0.785496
682,2023-04-24,10,6,0.007929
683,2023-04-24,15,1,0.006278
684,2023-04-24,18,1,1.369899
685,2023-04-25,6,1,5.260912
686,2023-04-25,5,1,5.735595
687,2023-04-25,9,1,0.785364
688,2023-04-25,10,6,0.007913
689,2023-04-25,15,1,0.006256
690,2023-04-25,18,1,1.365866
691,2023-04-26,6,1,5.269792
692,2023-04-26,5,1,5.74128
693,2023-04-26,9,1,0.785147
694,2023-04-26,10,6,0.007897
695,2023-04-26,15,1,0.006233
696,2023-04-26,18,1,1.362033
697,2023-04-27,6,1,5.278413
698,2023-04-27,5,1,5.746353
699,2023-04-27,9,1,0.784847
700,2023-04-27,10,6,0.00788
701,2023-04-27,15,1,0.006211
702,2023-04-27,18,1,1.35841
703,2023-04-28,6,1,5.286743
704,2023-04-28,5,1,5.750801
705,2023-04-28,9,1,0.784466
706,2023-04-28,10,6,0.007863
707,2023-04-28,15,1,0.006189
708,2023-04-28,18,1,1.355009
709,2023-04-29,6,1,5.294751
710,2023-04-29,5,1,5.754611
711,2023-04-29,9,1,0.784006
712,2023-04-29,10,6,0.007844
713,2023-04-29,15,1,0.006167
714,2023-04-29,18,1,1.351839
715,2023-04-30,6,1,5.302408
716,2023-04-30,5,1,5.757771
717,2023-04-30,9,1,0.783467
718,2023-04-30,10,6,0.007826
719,2023-04-30,15,1,0.006146
720,2023-04-30,18,1,1.34891
721,2023-05-01,6,1,5.309687
722,2023-05-01,5,1,5.760275
723,2023-05-01,9,1,0.782854
724,2023-05-01,10,6,0.007807
725,2023-05-01,15,1,0.006125
726,2023-05-01,18,1,1.34623
727,2023-05-02,6,1,5.31656
728,2023-05-02,5,1,5.762117
729,2023-05-02,9,1,0.782169
730,2023-05-02,10,6,0.007787
731,2023-05-02,15,1,0.006104
732,2023-05-02,18,1,1.343808
733,2023-05-03,6,1,5.323002
734,2023-05-03,5,1,5.763293
735,2023-05-03,9,1,0.781414
736,2023-05-03,10,6,0.007767
737,2023-05-03,15,1,0.006084
738,2023-05-03,18,1,1.341648
739,2023-05-04,6,1,5.328991
740,2023-05-04,5,1,5.763803
741,2023-05-04,9,1,0.780592
742,2023-05-04,10,6,0.007747
743,2023-05-04,15,1,0.006065
744,2023-05-04,18,1,1.339758
745,2023-05-05,6,1,5.334503
746,2023-05-05,5,1,5.763648
747,2023-05-05,9,1,0.779708
748,2023-05-05,10,6,0.007727
749,2023-05-05,15,1,0.006046
750,2023-05-05,18,1,1.338143
751,2023-05-06,6,1,5.339519
752,2023-05-06,5,1,5.762831
753,2023-05-06,9,1,0.778764
754,2023-05-06,10,6,0.007706
755,2023-05-06,15,1,0.006028
756,2023-05-06,18,1,1.336806
757,2023-05-07,6,1,5.34402
758,2023-05-07,5,1,5.76136
759,2023-05-07,9,1,0.777765
760,2023-05-07,10,6,0.007686
761,2023-05-07,15,1,0.00601
762,2023-05-07,18,1,1.335751
763,2023-05-08,6,1,5.34799
764,2023-05-08,5,1,5.759243
765,2023-05-08,9,1,0.776714
766,2023-05-08,10,6,0.007666
767,2023-05-08,15,1,0.005994
768,2023-05-08,18,1,1.334979
769,2023-05-09,6,1,5.351415
770,2023-05-09,5,1,5.75649
771,2023-05-09,9,1,0.775616
772,2023-05-09,10,6,0.007646
773,2023-05-09,15,1,0.005978
774,2023-05-09,18,1,1.334492
