id,tipo_id,pais_origem,pais_destino,produto_id,valor_monetario,quantidade,transporte_id,cambio_id
139,6,24,37,34,6673.45,757,1,67
140,1,29,8,37,7584.62,841,2,68
141,2,34,19,40,8495.79,925,3,69
142,3,39,30,3,9406.96,1009,4,70
143,4,4,1,6,10317.13,1093,5,71
144,5,9,12,9,11228.3,1177,6,72
145,1,37,18,21,1244.56,274,1,73
146,2,2,29,24,2155.73,365,2,74
147,3,7,40,27,3066.9,456,3,75
148,4,12,11,30,3977.07,547,4,76
149,5,17,22,33,4888.24,638,5,77
150,6,22,33,36,5799.41,729,6,78
151,1,27,4,39,6710.58,820,1,73
152,2,32,15,2,7621.75,911,2,74
153,3,37,26,5,8532.92,1002,3,75
154,4,2,37,8,9443.09,1093,4,76
155,5,7,8,11,10354.26,1184,5,77
156,6,12,19,14,11265.43,1275,6,78
157,2,40,25,26,1281.69,295,1,79
158,3,5,36,29,2192.86,393,2,80
159,4,10,7,32,3103.03,491,3,81
160,5,15,18,35,4014.2,589,4,82
161,6,20,29,38,4925.37,687,5,83
162,1,25,40,1,5836.54,785,6,84
163,2,30,11,4,6747.71,883,1,79
164,3,35,22,7,7658.88,981,2,80
165,4,40,33,10,8569.05,1079,3,81
166,5,5,4,13,9480.22,1177,4,82
167,6,10,15,16,10391.39,1275,5,83
168,1,15,26,19,11302.56,1373,6,84
169,3,3,32,31,1318.82,316,1,85
170,4,8,3,34,2229.99,421,2,86
171,5,13,14,37,3140.16,526,3,87
172,6,18,25,40,4051.33,631,4,88
173,1,23,36,3,4962.5,736,5,89
174,2,28,7,6,5873.67,841,6,90
175,3,33,18,9,6784.84,946,1,85
176,4,38,29,12,7695.01,1051,2,86
177,5,3,40,15,8606.18,1156,3,87
178,6,8,11,18,9517.35,1261,4,88
179,1,13,22,21,10428.52,1366,5,89
180,2,18,33,24,11339.69,1471,6,90
181,4,6,39,36,1355.95,337,1,91
182,5,11,10,39,2266.12,449,2,92
183,6,16,21,2,3177.29,561,3,93
184,1,21,32,5,4088.46,673,4,94
185,2,26,3,8,4999.63,785,5,95
186,3,31,14,11,5910.8,897,6,96
187,4,36,25,14,6821.97,1009,1,91
188,5,1,36,17,7732.14,1121,2,92
189,6,6,7,20,8643.31,1233,3,93
190,1,11,18,23,9554.48,1345,4,94
191,2,16,29,26,10465.65,1457,5,95
192,3,21,40,29,11376.82,1569,6,96
193,5,9,6,1,1392.08,358,1,97
194,6,14,17,4,2303.25,477,2,98
195,1,19,28,7,3214.42,596,3,99
196,2,24,39,10,4125.59,715,4,100
197,3,29,10,13,5036.76,834,5,101
198,4,34,21,16,5947.93,953,6,102
199,5,39,32,19,6858.1,1072,1,97
200,6,4,3,22,7769.27,1191,2,98
201,1,9,14,25,8680.44,1310,3,99
202,2,14,25,28,9591.61,1429,4,100
203,3,19,36,31,10502.78,1548,5,101
204,4,24,7,34,11413.95,1667,6,102
205,6,12,13,6,1429.21,379,1,103
206,1,17,24,9,2340.38,505,2,104
207,2,22,35,12,3251.55,631,3,105
208,3,27,6,15,4162.72,757,4,106
209,4,32,17,18,5073.89,883,5,107
210,5,37,28,21,5984.06,1009,6,108
211,6,2,39,24,6895.23,1135,1,103
212,1,7,10,27,7806.4,1261,2,104
213,2,12,21,30,8717.57,1387,3,105
214,3,17,32,33,9628.74,1513,4,106
215,4,22,3,36,10539.91,1639,5,107
216,5,27,14,39,11450.08,1765,6,108
217,1,15,20,11,1466.34,400,1,109
218,2,20,31,14,2377.51,533,2,110
219,3,25,2,17,3288.68,666,3,111
220,4,30,13,20,4199.85,799,4,112
221,5,35,24,23,5110.02,932,5,113
222,6,40,35,26,6021.19,1065,6,114
223,1,5,6,29,6932.36,1198,1,109
224,2,10,17,32,7843.53,1331,2,110
225,3,15,28,35,8754.7,1464,3,111
226,4,20,39,38,9665.87,1597,4,112
227,5,25,10,1,10576.04,1730,5,113
228,6,30,21,4,11487.21,1863,6,114
229,2,18,27,16,1503.47,421,1,115
230,3,23,38,19,2414.64,561,2,116
231,4,28,9,22,3325.81,701,3,117
232,5,33,20,25,4236.98,841,4,118
233,6,38,31,28,5147.15,981,5,119
234,1,3,2,31,6058.32,1121,6,120
235,2,8,13,34,6969.49,1261,1,115
236,3,13,24,37,7880.66,1401,2,116
237,4,18,35,40,8791.83,1541,3,117
238,5,23,6,3,9702.0,1681,4,118
239,6,28,17,6,10613.17,1821,5,119
240,1,33,28,9,11524.34,1961,6,120
241,3,21,34,21,1540.6,442,1,121
242,4,26,5,24,2451.77,589,2,122
243,5,31,16,27,3362.94,736,3,123
244,6,36,27,30,4273.11,883,4,124
245,1,1,38,33,5184.28,1030,5,125
246,2,6,9,36,6095.45,1177,6,126
247,3,11,20,39,7006.62,1324,1,121
248,4,16,31,2,7917.79,1471,2,122
249,5,21,2,5,8828.96,1618,3,123
250,6,26,13,8,9739.13,1765,4,124
251,1,31,24,11,10650.3,1912,5,125
252,2,36,35,14,11561.47,59,6,126
253,4,24,1,26,1577.73,463,1,127
254,5,29,12,29,2488.9,617,2,128
255,6,34,23,32,3399.07,771,3,129
256,1,39,34,35,4310.24,925,4,130
257,2,4,5,38,5221.41,1079,5,131
258,3,9,16,1,6132.58,1233,6,132
259,4,14,27,4,7043.75,1387,1,127
260,5,19,38,7,7954.92,1541,2,128
261,6,24,9,10,8865.09,1695,3,129
262,1,29,20,13,9776.26,1849,4,130
263,2,34,31,16,10687.43,3,5,131
264,3,39,2,19,11598.6,157,6,132
265,5,27,8,31,1614.86,484,1,133
266,6,32,19,34,2525.03,645,2,134
267,1,37,30,37,3436.2,806,3,135
268,2,2,1,40,4347.37,967,4,136
269,3,7,12,3,5258.54,1128,5,137
270,4,12,23,6,6169.71,1289,6,138
271,5,17,34,9,7080.88,1450,1,133
272,6,22,5,12,7991.05,1611,2,134
273,1,27,16,15,8902.22,1772,3,135
274,2,32,27,18,9813.39,1933,4,136
275,3,37,38,21,10724.56,94,5,137
276,4,2,9,24,11635.73,255,6,138
277,6,30,15,36,1651.99,505,1,139
278,1,35,26,39,2562.16,673,2,140
279,2,40,37,2,3473.33,841,3,141
280,3,5,8,5,4384.5,1009,4,142
281,4,10,19,8,5295.67,1177,5,143
282,5,15,30,11,6206.84,1345,6,144
283,6,20,1,14,7117.01,1513,1,139
284,1,25,12,17,8028.18,1681,2,140
285,2,30,23,20,8939.35,1849,3,141
286,3,35,34,23,9850.52,17,4,142
287,4,40,5,26,10761.69,185,5,143
288,5,5,16,29,11672.86,353,6,144
289,1,33,22,1,1688.12,526,1,145
290,2,38,33,4,2599.29,701,2,146
291,3,3,4,7,3510.46,876,3,147
292,4,8,15,10,4421.63,1051,4,148
293,5,13,26,13,5332.8,1226,5,149
294,6,18,37,16,6243.97,1401,6,150
295,1,23,8,19,7154.14,1576,1,145
296,2,28,19,22,8065.31,1751,2,146
297,3,33,30,25,8976.48,1926,3,147
298,4,38,1,28,9887.65,101,4,148
299,5,3,12,31,10798.82,276,5,149
300,6,8,23,34,11709.99,451,6,150
301,2,36,29,6,1725.25,547,1,151
302,3,1,40,9,2636.42,729,2,152
303,4,6,11,12,3547.59,911,3,153
304,5,11,22,15,4458.76,1093,4,154
305,6,16,33,18,5369.93,1275,5,155
306,1,21,4,21,6280.1,1457,6,156
307,2,26,15,24,7191.27,1639,1,151
308,3,31,26,27,8102.44,1821,2,152
309,4,36,37,30,9013.61,3,3,153
310,5,1,8,33,9924.78,185,4,154
311,6,6,19,36,10835.95,367,5,155
312,1,11,30,39,11746.12,549,6,156
313,3,39,36,11,1762.38,568,1,157
314,4,4,7,14,2673.55,757,2,158
315,5,9,18,17,3584.72,946,3,159
316,6,14,29,20,4495.89,1135,4,160
317,1,19,40,23,5406.06,1324,5,161
318,2,24,11,26,6317.23,1513,6,162
319,3,29,22,29,7228.4,1702,1,157
320,4,34,33,32,8139.57,1891,2,158
321,5,39,4,35,9050.74,80,3,159
322,6,4,15,38,9961.91,269,4,160
323,1,9,26,1,10872.08,458,5,161
324,2,14,37,4,11783.25,647,6,162
325,4,2,3,16,1799.51,589,1,163
326,5,7,14,19,2710.68,785,2,164
327,6,12,25,22,3621.85,981,3,165
328,1,17,36,25,4532.02,1177,4,166
329,2,22,7,28,5443.19,1373,5,167
330,3,27,18,31,6354.36,1569,6,168
331,4,32,29,34,7265.53,1765,1,163
332,5,37,40,37,8176.7,1961,2,164
333,6,2,11,40,9087.87,157,3,165
334,1,7,22,3,9998.04,353,4,166
335,2,12,33,6,10909.21,549,5,167
336,3,17,4,9,11820.38,745,6,168
337,5,5,10,21,1836.64,610,1,169
338,6,10,21,24,2747.81,813,2,170
339,1,15,32,27,3658.98,1016,3,171
340,2,20,3,30,4569.15,1219,4,172
341,3,25,14,33,5480.32,1422,5,173
342,4,30,25,36,6391.49,1625,6,174
343,5,35,36,39,7302.66,1828,1,169
344,6,40,7,2,8213.83,31,2,170
345,1,5,18,5,9124.0,234,3,171
346,2,10,29,8,10035.17,437,4,172
347,3,15,40,11,10946.34,640,5,173
348,4,20,11,14,11857.51,843,6,174
349,6,8,17,26,1873.77,631,1,175
350,1,13,28,29,2784.94,841,2,176
351,2,18,39,32,3695.11,1051,3,177
352,3,23,10,35,4606.28,1261,4,178
353,4,28,21,38,5517.45,1471,5,179
354,5,33,32,1,6428.62,1681,6,180
355,6,38,3,4,7339.79,1891,1,175
356,1,3,14,7,8250.96,101,2,176
357,2,8,25,10,9161.13,311,3,177
358,3,13,36,13,10072.3,521,4,178
359,4,18,7,16,10983.47,731,5,179
360,5,23,18,19,11894.64,941,6,180
361,1,11,24,31,1910.9,652,1,181
362,2,16,35,34,2821.07,869,2,182
363,3,21,6,37,3732.24,1086,3,183
364,4,26,17,40,4643.41,1303,4,184
365,5,31,28,3,5554.58,1520,5,185
366,6,36,39,6,6465.75,1737,6,186
367,1,1,10,9,7376.92,1954,1,181
368,2,6,21,12,8287.09,171,2,182
369,3,11,32,15,9198.26,388,3,183
370,4,16,3,18,10109.43,605,4,184
371,5,21,14,21,11020.6,822,5,185
372,6,26,25,24,11931.77,1039,6,186
373,2,14,31,36,1947.03,673,1,187
374,3,19,2,39,2858.2,897,2,188
375,4,24,13,2,3769.37,1121,3,189
376,5,29,24,5,4680.54,1345,4,190
377,6,34,35,8,5591.71,1569,5,191
378,1,39,6,11,6502.88,1793,6,192
379,2,4,17,14,7413.05,17,1,187
380,3,9,28,17,8324.22,241,2,188
381,4,14,39,20,9235.39,465,3,189
382,5,19,10,23,10146.56,689,4,190
383,6,24,21,26,11057.73,913,5,191
384,1,29,32,29,11968.9,1137,6,192
385,3,17,38,1,1984.16,694,1,193
386,4,22,9,4,2895.33,925,2,194
387,5,27,20,7,3806.5,1156,3,195
388,6,32,31,10,4717.67,1387,4,196
389,1,37,2,13,5628.84,1618,5,197
390,2,2,13,16,6539.01,1849,6,198
391,3,7,24,19,7450.18,80,1,193
392,4,12,35,22,8361.35,311,2,194
393,5,17,6,25,9272.52,542,3,195
394,6,22,17,28,10183.69,773,4,196
395,1,27,28,31,11094.86,1004,5,197
396,2,32,39,34,12005.03,1235,6,198
397,4,20,5,6,2021.29,715,1,199
398,5,25,16,9,2932.46,953,2,200
399,6,30,27,12,3843.63,1191,3,201
400,1,35,38,15,4754.8,1429,4,202
401,2,40,9,18,5665.97,1667,5,203
402,3,5,20,21,6576.14,1905,6,204
403,4,10,31,24,7487.31,143,1,199
404,5,15,2,27,8398.48,381,2,200
405,6,20,13,30,9309.65,619,3,201
406,1,25,24,33,10220.82,857,4,202
407,2,30,35,36,11131.99,1095,5,203
408,3,35,6,39,12042.16,1333,6,204
409,5,23,12,11,2058.42,736,1,205
410,6,28,23,14,2969.59,981,2,206
411,1,33,34,17,3880.76,1226,3,207
412,2,38,5,20,4791.93,1471,4,208
413,3,3,16,23,5702.1,1716,5,209
414,4,8,27,26,6613.27,1961,6,210
415,5,13,38,29,7524.44,206,1,205
416,6,18,9,32,8435.61,451,2,206
417,1,23,20,35,9346.78,696,3,207
418,2,28,31,38,10257.95,941,4,208
419,3,33,2,1,11168.12,1186,5,209
420,4,38,13,4,12079.29,1431,6,210
421,6,26,19,16,2095.55,757,1,211
422,1,31,30,19,3006.72,1009,2,212
423,2,36,1,22,3917.89,1261,3,213
424,3,1,12,25,4828.06,1513,4,214
425,4,6,23,28,5739.23,1765,5,215
426,5,11,34,31,6650.4,17,6,216
427,6,16,5,34,7561.57,269,1,211
428,1,21,16,37,8472.74,521,2,212
429,2,26,27,40,9383.91,773,3,213
430,3,31,38,3,10294.08,1025,4,214
431,4,36,9,6,11205.25,1277,5,215
432,5,1,20,9,12116.42,1529,6,216
433,1,29,26,21,2132.68,778,1,217
434,2,34,37,24,3043.85,1037,2,218
435,3,39,8,27,3954.02,1296,3,219
436,4,4,19,30,4865.19,1555,4,220
437,5,9,30,33,5776.36,1814,5,221
438,6,14,1,36,6687.53,73,6,222
439,1,19,12,39,7598.7,332,1,217
440,2,24,23,2,8509.87,591,2,218
441,3,29,34,5,9420.04,850,3,219
442,4,34,5,8,10331.21,1109,4,220
443,5,39,16,11,11242.38,1368,5,221
444,6,4,27,14,12153.55,1627,6,222
445,2,32,33,26,2169.81,799,1,223
446,3,37,4,29,3080.98,1065,2,224
447,4,2,15,32,3991.15,1331,3,225
448,5,7,26,35,4902.32,1597,4,226
449,6,12,37,38,5813.49,1863,5,227
450,1,17,8,1,6724.66,129,6,228
451,2,22,19,4,7635.83,395,1,223
452,3,27,30,7,8546.0,661,2,224
453,4,32,1,10,9457.17,927,3,225
454,5,37,12,13,10368.34,1193,4,226
455,6,2,23,16,11279.51,1459,5,227
456,1,7,34,19,12190.68,1725,6,228
457,3,35,40,31,2206.94,820,1,229
458,4,40,11,34,3117.11,1093,2,230
459,5,5,22,37,4028.28,1366,3,231
460,6,10,33,40,4939.45,1639,4,232
461,1,15,4,3,5850.62,1912,5,233
462,2,20,15,6,6761.79,185,6,234
463,3,25,26,9,7672.96,458,1,229
464,4,30,37,12,8583.13,731,2,230
465,5,35,8,15,9494.3,1004,3,231
466,6,40,19,18,10405.47,1277,4,232
467,1,5,30,21,11316.64,1550,5,233
468,2,10,1,24,12227.81,1823,6,234
469,4,38,7,36,2243.07,841,1,235
470,5,3,18,39,3154.24,1121,2,236
471,6,8,29,2,4065.41,1401,3,237
472,1,13,40,5,4976.58,1681,4,238
473,2,18,11,8,5887.75,1961,5,239
474,3,23,22,11,6798.92,241,6,240
475,4,28,33,14,7709.09,521,1,235
476,5,33,4,17,8620.26,801,2,236
477,6,38,15,20,9531.43,1081,3,237
478,1,3,26,23,10442.6,1361,4,238
479,2,8,37,26,11353.77,1641,5,239
480,3,13,8,29,12264.94,1921,6,240
481,5,1,14,1,2280.2,862,1,241
482,6,6,25,4,3191.37,1149,2,242
483,1,11,36,7,4102.54,1436,3,243
484,2,16,7,10,5013.71,1723,4,244
485,3,21,18,13,5924.88,10,5,245
486,4,26,29,16,6835.05,297,6,246
487,5,31,40,19,7746.22,584,1,241
488,6,36,11,22,8657.39,871,2,242
489,1,1,22,25,9568.56,1158,3,243
490,2,6,33,28,10479.73,1445,4,244
491,3,11,4,31,11390.9,1732,5,245
492,4,16,15,34,12301.07,19,6,246
493,6,4,21,6,2317.33,883,1,247
494,1,9,32,9,3228.5,1177,2,248
495,2,14,3,12,4139.67,1471,3,249
496,3,19,14,15,5050.84,1765,4,250
497,4,24,25,18,5961.01,59,5,251
498,5,29,36,21,6872.18,353,6,252
499,6,34,7,24,7783.35,647,1,247
500,1,39,18,27,8694.52,941,2,248
501,2,4,29,30,9605.69,1235,3,249
502,3,9,40,33,10516.86,1529,4,250
503,4,14,11,36,11427.03,1823,5,251
504,5,19,22,39,12338.2,117,6,252
505,1,7,28,11,2354.46,904,1,253
506,2,12,39,14,3265.63,1205,2,254
507,3,17,10,17,4176.8,1506,3,255
508,4,22,21,20,5087.97,1807,4,256
509,5,27,32,23,5998.14,108,5,257
510,6,32,3,26,6909.31,409,6,258
511,1,37,14,29,7820.48,710,1,253
512,2,2,25,32,8731.65,1011,2,254
513,3,7,36,35,9642.82,1312,3,255
514,4,12,7,38,10553.99,1613,4,256
515,5,17,18,1,11464.16,1914,5,257
516,6,22,29,4,12375.33,215,6,258
517,2,10,35,16,2391.59,925,1,259
518,3,15,6,19,3302.76,1233,2,260
519,4,20,17,22,4213.93,1541,3,261
520,5,25,28,25,5124.1,1849,4,262
521,6,30,39,28,6035.27,157,5,263
522,1,35,10,31,6946.44,465,6,264
523,2,40,21,34,7857.61,773,1,259
524,3,5,32,37,8768.78,1081,2,260
525,4,10,3,40,9679.95,1389,3,261
526,5,15,14,3,10590.12,1697,4,262
527,6,20,25,6,11501.29,5,5,263
528,1,25,36,9,12412.46,313,6,264
529,3,13,2,21,2428.72,946,1,265
530,4,18,13,24,3339.89,1261,2,266
531,5,23,24,27,4250.06,1576,3,267
532,6,28,35,30,5161.23,1891,4,268
533,1,33,6,33,6072.4,206,5,269
534,2,38,17,36,6983.57,521,6,270
535,3,3,28,39,7894.74,836,1,265
536,4,8,39,2,8805.91,1151,2,266
537,5,13,10,5,9716.08,1466,3,267
538,6,18,21,8,10627.25,1781,4,268
539,1,23,32,11,11538.42,96,5,269
540,2,28,3,14,12449.59,411,6,270
541,4,16,9,26,2465.85,967,1,271
542,5,21,20,29,3376.02,1289,2,272
543,6,26,31,32,4287.19,1611,3,273
544,1,31,2,35,5198.36,1933,4,274
545,2,36,13,38,6109.53,255,5,275
546,3,1,24,1,7020.7,577,6,276
547,4,6,35,4,7931.87,899,1,271
548,5,11,6,7,8842.04,1221,2,272
549,6,16,17,10,9753.21,1543,3,273
550,1,21,28,13,10664.38,1865,4,274
551,2,26,39,16,11575.55,187,5,275
552,3,31,10,19,12486.72,509,6,276
553,5,19,16,31,2502.98,988,1,277
554,6,24,27,34,3413.15,1317,2,278
555,1,29,38,37,4324.32,1646,3,279
556,2,34,9,40,5235.49,1975,4,280
557,3,39,20,3,6146.66,304,5,281
558,4,4,31,6,7057.83,633,6,282
559,5,9,2,9,7968.0,962,1,277
560,6,14,13,12,8879.17,1291,2,278
561,1,19,24,15,9790.34,1620,3,279
562,2,24,35,18,10701.51,1949,4,280
563,3,29,6,21,11612.68,278,5,281
564,4,34,17,24,12523.85,607,6,282
565,6,22,23,36,2539.11,1009,1,283
566,1,27,34,39,3450.28,1345,2,284
567,2,32,5,2,4361.45,1681,3,285
568,3,37,16,5,5272.62,17,4,286
569,4,2,27,8,6183.79,353,5,287
570,5,7,38,11,7094.96,689,6,288
571,6,12,9,14,8005.13,1025,1,283
572,1,17,20,17,8916.3,1361,2,284
573,2,22,31,20,9827.47,1697,3,285
574,3,27,2,23,10738.64,33,4,286
575,4,32,13,26,11649.81,369,5,287
576,5,37,24,29,12560.98,705,6,288
577,1,25,30,1,2576.24,1030,1,289
578,2,30,1,4,3487.41,1373,2,290
579,3,35,12,7,4398.58,1716,3,291
580,4,40,23,10,5309.75,59,4,292
581,5,5,34,13,6220.92,402,5,293
582,6,10,5,16,7131.09,745,6,294
583,1,15,16,19,8042.26,1088,1,289
584,2,20,27,22,8953.43,1431,2,290
585,3,25,38,25,9864.6,1774,3,291
586,4,30,9,28,10775.77,117,4,292
587,5,35,20,31,11686.94,460,5,293
588,6,40,31,34,12597.11,803,6,294
589,2,28,37,6,2613.37,1051,1,295
590,3,33,8,9,3524.54,1401,2,296
591,4,38,19,12,4435.71,1751,3,297
592,5,3,30,15,5346.88,101,4,298
593,6,8,1,18,6257.05,451,5,299
594,1,13,12,21,7168.22,801,6,300
595,2,18,23,24,8079.39,1151,1,295
596,3,23,34,27,8990.56,1501,2,296
597,4,28,5,30,9901.73,1851,3,297
598,5,33,16,33,10812.9,201,4,298
599,6,38,27,36,11723.07,551,5,299
600,1,3,38,39,12634.24,901,6,300
601,3,31,4,11,2650.5,1072,1,301
602,4,36,15,14,3561.67,1429,2,302
603,5,1,26,17,4472.84,1786,3,303
604,6,6,37,20,5383.01,143,4,304
605,1,11,8,23,6294.18,500,5,305
606,2,16,19,26,7205.35,857,6,306
607,3,21,30,29,8116.52,1214,1,301
608,4,26,1,32,9027.69,1571,2,302
609,5,31,12,35,9938.86,1928,3,303
610,6,36,23,38,10849.03,285,4,304
611,1,1,34,1,11760.2,642,5,305
612,2,6,5,4,12671.37,999,6,306
613,4,34,11,16,2687.63,1093,1,307
614,5,39,22,19,3598.8,1457,2,308
615,6,4,33,22,4509.97,1821,3,309
616,1,9,4,25,5420.14,185,4,310
617,2,14,15,28,6331.31,549,5,311
618,3,19,26,31,7242.48,913,6,312
619,4,24,37,34,8153.65,1277,1,307
620,5,29,8,37,9064.82,1641,2,308
621,6,34,19,40,9975.99,5,3,309
622,1,39,30,3,10886.16,369,4,310
623,2,4,1,6,11797.33,733,5,311
624,3,9,12,9,12708.5,1097,6,312
625,5,37,18,21,2724.76,1114,1,313
626,6,2,29,24,3635.93,1485,2,314
627,1,7,40,27,4546.1,1856,3,315
628,2,12,11,30,5457.27,227,4,316
629,3,17,22,33,6368.44,598,5,317
630,4,22,33,36,7279.61,969,6,318
631,5,27,4,39,8190.78,1340,1,313
632,6,32,15,2,9101.95,1711,2,314
633,1,37,26,5,10012.12,82,3,315
634,2,2,37,8,10923.29,453,4,316
635,3,7,8,11,11834.46,824,5,317
636,4,12,19,14,12745.63,1195,6,318
637,6,40,25,26,2761.89,1135,1,319
638,1,5,36,29,3672.06,1513,2,320
639,2,10,7,32,4583.23,1891,3,321
640,3,15,18,35,5494.4,269,4,322
641,4,20,29,38,6405.57,647,5,323
642,5,25,40,1,7316.74,1025,6,324
643,6,30,11,4,8227.91,1403,1,319
644,1,35,22,7,9138.08,1781,2,320
645,2,40,33,10,10049.25,159,3,321
646,3,5,4,13,10960.42,537,4,322
647,4,10,15,16,11871.59,915,5,323
648,5,15,26,19,12782.76,1293,6,324
649,1,3,32,31,2798.02,1156,1,325
