id_transacao,quantidade_transacionada,valor_monetario_transacao,valor_convertido_transacao,taxa_cambio_transacao,sk_tempo,sk_pais_origem,sk_pais_destino,sk_produto,sk_categoria_produto,sk_moeda_origem,sk_moeda_destino,sk_tipo_transacao,sk_transporte
68,421,7362.84,42710.34754632,5.800798,6,3,20,3,3,2,1,1,2
69,463,8273.01,6445.97365257,0.779157,6,4,21,4,4,3,1,2,3
70,505,9184.18,70.95697468,0.007726,6,5,16,5,5,4,2,3,4
71,547,10095.35,62.5305979,0.006194,6,6,17,6,1,5,1,4,5
72,589,11006.52,15435.29049804,1.402377,6,7,18,7,2,6,1,5,6
73,148,1022.78,5483.77406808,5.361636,7,12,28,11,1,1,1,1,1
74,197,1933.95,11227.46743305,5.805459,7,13,29,12,2,2,1,2,2
75,246,2844.12,2214.98074716,0.778793,7,14,30,35,3,3,1,3,3
76,295,3755.29,28.95704119,0.007711,7,15,25,36,4,4,2,4,4
77,344,4666.46,28.82005696,0.006176,7,16,26,37,5,5,1,5,5
78,393,5577.63,7803.673288260001,1.399102,7,9,27,13,1,6,1,6,6
79,442,6488.8,34790.5836768,5.361636,7,10,22,14,2,1,1,1,1
80,491,7399.97,42960.22243623,5.805459,7,11,23,15,3,2,1,2,2
81,540,8310.14,6471.878861019999,0.778793,7,12,24,16,4,3,1,3,3
82,589,9221.31,71.10552141,0.007711,7,13,19,17,5,4,2,4,4
83,638,10132.48,62.57819648,0.006176,7,14,20,18,1,5,1,5,5
84,687,11043.65,15451.1928023,1.399102,7,15,21,19,2,6,1,6,6
85,169,1059.91,5693.03946768,5.371248,8,20,31,23,1,1,1,2,1
86,225,1970.08,11445.19355056,5.809507,8,21,32,24,2,2,1,3,2
87,281,2881.25,2242.6094125,0.778346,8,22,33,38,3,3,1,4,3
88,337,3792.42,29.1826719,0.007695,8,23,28,39,4,4,2,5,4
89,393,4703.59,28.96470722,0.006158,8,24,29,40,5,5,1,6,5
90,449,5614.76,7838.18811572,1.395997,8,17,30,25,1,6,1,1,6
91,505,6525.93,35052.388460639995,5.371248,8,18,25,26,2,1,1,2,1
92,561,7436.1,43200.0750027,5.809507,8,19,26,27,3,2,1,3,2
93,617,8347.27,6497.06421542,0.778346,8,20,27,28,4,3,1,4,3
94,673,9258.44,71.2436958,0.007695,8,21,22,29,5,4,2,5,4
95,729,10169.61,62.62445838000001,0.006158,8,22,23,30,1,5,1,6,5
96,785,11080.78,15468.73563766,1.395997,8,23,24,31,2,6,1,1,6
97,190,1096.04,5897.32980716,5.380579,9,28,34,1,1,1,1,3,1
98,253,2007.21,11667.75918204,5.812924,9,29,35,2,2,2,1,4,2
99,316,2918.38,2269.97141322,0.777819,9,30,36,3,3,3,1,5,3
100,379,3829.55,29.40711445,0.007679,9,31,31,4,4,4,2,6,4
101,442,4740.72,29.1080208,0.00614,9,32,32,5,5,5,1,1,5
102,505,5651.89,7873.489706080001,1.393072,9,25,33,6,1,6,1,2,6
103,568,6562.06,35307.68223274,5.380579,9,26,28,7,2,1,1,3,1
104,631,7473.23,43441.31802452,5.812924,9,27,29,8,3,2,1,4,2
105,694,8384.4,6521.5456236,0.777819,9,28,30,9,4,3,1,5,3
106,757,9295.57,71.38068203,0.007679,9,29,25,10,5,4,2,6,4
107,820,10206.74,62.6693836,0.00614,9,30,26,11,1,5,1,1,5
108,883,11117.91,15488.04911952,1.393072,9,31,27,12,2,6,1,2,6
109,211,1133.17,6107.327366150001,5.389595,10,36,37,13,1,1,1,4,1
110,281,2044.34,11889.25382762,5.815693,10,37,38,14,2,2,1,5,2
111,351,2955.51,2297.0607936300003,0.777213,10,38,39,15,3,3,1,6,3
112,421,3866.68,29.63036884,0.007663,10,39,34,16,4,4,2,1,4
113,491,4777.85,29.25477555,0.006123,10,40,35,17,5,5,1,2,5
114,561,5688.02,7908.276038780001,1.390339,10,33,36,18,1,6,1,3,6
115,631,6599.19,35566.961428049995,5.389595,10,34,31,19,2,1,1,4,1
116,701,7510.36,43677.94807948,5.815693,10,35,32,20,3,2,1,5,2
117,771,8421.53,6545.322595890001,0.777213,10,36,33,21,4,3,1,6,3
118,841,9332.7,71.5164801,0.007663,10,37,28,22,5,4,2,1,4
119,911,10243.87,62.72321601,0.006123,10,38,29,23,1,5,1,2,5
120,981,11154.04,15507.89681956,1.390339,10,39,30,24,2,6,1,3,6
121,232,1170.3,6317.590699799999,5.398266,11,7,11,25,1,1,1,5,1
122,309,2081.47,12109.58032894,5.817802,11,8,12,26,2,2,1,6,2
123,386,2992.64,2323.86875392,0.776528,11,1,40,27,3,3,1,1,3
124,463,3903.81,29.84462745,0.007645,11,2,37,28,4,4,2,2,4
125,540,4814.98,29.3954529,0.006105,11,3,38,29,5,5,1,3,5
126,617,5725.15,7945.41469635,1.387809,11,4,39,30,1,6,1,4,6
127,694,6636.32,35824.62062112,5.398266,11,5,34,31,2,1,1,5,1
128,771,7547.49,43909.802416980005,5.817802,11,6,35,32,3,2,1,6,2
129,848,8458.66,6568.38633248,0.776528,11,7,36,33,4,3,1,1,3
130,925,9369.83,71.63235035,0.007645,11,8,31,34,5,4,2,2,4
131,1002,10280.0,62.7594,0.006105,11,1,32,1,1,5,1,3,5
132,1079,11191.17,15531.20644653,1.387809,11,2,33,2,2,6,1,4,6
133,253,1207.43,6528.04153337,5.406559,12,15,8,6,1,1,1,6,1
134,337,2118.6,12328.6355082,5.819237,12,16,9,7,2,2,1,1,2
135,421,3029.77,2350.39861336,0.775768,12,9,10,8,3,3,1,2,3
136,505,3940.94,30.06149032,0.007628,12,10,11,9,4,4,2,3,4
137,589,4851.11,29.53355768,0.006088,12,11,12,10,5,5,1,4,5
138,673,5762.28,7983.587079479999,1.385491,12,12,40,11,1,6,1,5,6
139,757,6673.45,36080.40115855,5.406559,12,13,37,12,2,1,1,6,1
140,841,7584.62,44136.70133494,5.819237,12,14,38,35,3,2,1,1,2
141,925,8495.79,6590.762016720001,0.775768,12,15,39,36,4,3,1,2,3
142,1009,9406.96,71.75629088,0.007628,12,16,34,37,5,4,2,3,4
143,1093,10317.13,62.81068743999999,0.006088,12,9,35,13,1,5,1,4,5
144,1177,11228.3,15556.7085953,1.385491,12,10,36,14,2,6,1,5,6
145,274,1244.56,6738.60291376,5.414446,13,23,5,18,1,1,1,1,1
146,365,2155.73,12546.3270427,5.81999,13,24,6,19,2,2,1,2,2
147,456,3066.9,2376.6481515,0.774935,13,17,7,20,3,3,1,3,3
148,547,3977.07,30.2655027,0.00761,13,18,8,21,4,4,2,4,4
149,638,4888.24,29.67650504,0.006071,13,19,9,22,5,5,1,5,5
150,729,5799.41,8022.86899754,1.383394,13,20,10,23,1,6,1,6,6
151,820,6710.58,36334.07303868,5.414446,13,21,11,24,2,1,1,1,1
152,911,7621.75,44358.5087825,5.81999,13,22,12,38,3,2,1,2,2
153,1002,8532.92,6612.4583602,0.774935,13,23,40,39,4,3,1,3,3
154,1093,9443.09,71.8619149,0.00761,13,24,37,40,5,4,2,4,4
155,1184,10354.26,62.86071246,0.006071,13,17,38,25,1,5,1,5,5
156,1275,11265.43,15584.52826942,1.383394,13,18,39,26,2,6,1,6,6
157,295,1281.69,6949.191165930001,5.421897,14,31,2,30,1,1,1,2,1
158,393,2192.86,12762.56361444,5.820054,14,32,3,31,2,2,1,3,2
159,491,3103.03,2401.8414139300003,0.774031,14,25,4,32,3,3,1,4,3
160,589,4014.2,30.4717922,0.007591,14,26,5,33,4,4,2,5,4
161,687,4925.37,29.82311535,0.006055,14,27,6,34,5,5,1,6,5
162,785,5836.54,8063.33176004,1.381526,14,28,7,1,1,6,1,1,6
163,883,6747.71,36585.38860587,5.421897,14,29,8,2,2,1,1,2,1
164,981,7658.88,44575.09517952,5.820054,14,30,9,3,3,2,1,3,2
165,1079,8569.05,6632.710340549999,0.774031,14,31,10,4,4,3,1,4,3
166,1177,9480.22,71.96435002,0.007591,14,32,11,5,5,4,2,5,4
167,1275,10391.39,62.91986645,0.006055,14,25,12,6,1,5,1,6,5
168,1373,11302.56,15614.78050656,1.381526,14,26,40,7,2,6,1,1,6
169,316,1318.82,7159.724753339999,5.428887,15,39,14,11,1,1,1,3,1
170,421,2229.99,12977.257325759998,5.819424,15,40,15,12,2,2,1,4,2
171,526,3140.16,2427.52894944,0.773059,15,33,1,35,3,3,1,5,3
172,631,4051.33,30.67667076,0.007572,15,34,2,36,4,4,2,6,4
173,736,4962.5,29.9685375,0.006039,15,35,3,37,5,5,1,1,5
174,841,5873.67,8105.05373832,1.379896,15,36,4,13,1,6,1,2,6
175,946,6784.84,36834.12967308,5.428887,15,37,5,14,2,1,1,3,1
176,1051,7695.01,44780.52587424,5.819424,15,38,6,15,3,2,1,4,2
177,1156,8606.18,6653.084904620001,0.773059,15,39,7,16,4,3,1,5,3
178,1261,9517.35,72.0653742,0.007572,15,40,8,17,5,4,2,6,4
179,1366,10428.52,62.97783228,0.006039,15,33,9,18,1,5,1,1,5
180,1471,11339.69,15647.59287224,1.379896,15,34,10,19,2,6,1,2,6
181,337,1355.95,7370.11571455,5.435389,16,2,17,23,1,1,1,4,1
182,449,2266.12,13184.50597364,5.818097,16,3,18,24,2,2,1,5,2
183,561,3177.29,2452.93778038,0.772022,16,4,13,38,3,3,1,6,3
184,673,4088.46,30.88422684,0.007554,16,5,14,39,4,4,2,1,4
185,785,4999.63,30.11777112,0.006024,16,6,15,40,5,5,1,2,5
186,897,5910.8,8148.0850864,1.378508,16,7,1,25,1,6,1,3,6
187,1009,6821.97,37080.06069633,5.435389,16,8,2,26,2,1,1,4,1
188,1121,7732.14,44986.34053758,5.818097,16,1,3,27,3,2,1,5,2
189,1233,8643.31,6672.825472819999,0.772022,16,2,4,28,4,3,1,6,3
190,1345,9554.48,72.17454192,0.007554,16,3,5,29,5,4,2,1,4
191,1457,10465.65,63.0450756,0.006024,16,4,6,30,1,5,1,2,5
192,1569,11376.82,15683.03738456,1.378508,16,5,7,31,2,6,1,3,6
193,358,1392.08,7574.83487832,5.441379,17,10,20,1,1,1,1,5,1
194,477,2303.25,13395.8724405,5.816074,17,11,21,2,2,2,1,6,2
195,596,3214.42,2478.07030966,0.770923,17,12,16,3,3,3,1,1,3
196,715,4125.59,31.08219506,0.007534,17,13,17,4,4,4,2,2,4
197,834,5036.76,30.26589084,0.006009,17,14,18,5,5,5,1,3,5
198,953,5947.93,8192.494396170001,1.377369,17,15,13,6,1,6,1,4,6
199,1072,6858.1,37317.521319900006,5.441379,17,16,14,7,2,1,1,5,1
200,1191,7769.27,45186.64924598001,5.816074,17,9,15,8,3,2,1,6,2
201,1310,8680.44,6691.95084612,0.770923,17,10,1,9,4,3,1,1,3
202,1429,9591.61,72.26318974,0.007534,17,11,2,10,5,4,2,2,4
203,1548,10502.78,63.11120502,0.006009,17,12,3,11,1,5,1,3,5
204,1667,11413.95,15721.220897550002,1.377369,17,13,4,12,2,6,1,4,6
205,379,1429.21,7784.673908770001,5.446837,18,18,23,13,1,1,1,6,1
206,505,2340.38,13605.46679604,5.813358,18,19,24,14,2,2,1,1,2
207,631,3251.55,2502.9326373,0.769766,18,20,19,15,3,3,1,2,3
208,757,4162.72,31.2828408,0.007515,18,21,20,16,4,4,2,3,4
209,883,5073.89,30.42304444,0.005996,18,22,21,17,5,5,1,4,5
210,1009,5984.06,8236.962845040001,1.376484,18,23,16,18,1,6,1,5,6
211,1135,6895.23,37557.19388751,5.446837,18,24,17,19,2,1,1,6,1
212,1261,7806.4,45381.3978912,5.813358,18,17,18,20,3,2,1,1,2
213,1387,8717.57,6710.488988619999,0.769766,18,18,13,21,4,3,1,2,3
214,1513,9628.74,72.3599811,0.007515,18,19,14,22,5,4,2,3,4
215,1639,10539.91,63.19730035999999,0.005996,18,20,15,23,1,5,1,4,5
216,1765,11450.08,15760.85191872,1.376484,18,21,1,24,2,6,1,5,6
217,400,1466.34,7994.1044316,5.45174,19,26,26,25,1,1,1,1,1
218,533,2377.51,13813.22135703,5.809953,19,27,27,26,2,2,1,2,2
219,666,3288.68,2527.52816872,0.768554,19,28,22,27,3,3,1,3,3
220,799,4199.85,31.4820756,0.007496,19,29,23,28,4,4,2,4,4
221,932,5110.02,30.568139640000005,0.005982,19,30,24,29,5,5,1,5,5
222,1065,6021.19,8284.28436745,1.375855,19,31,19,30,1,6,1,6,6
223,1198,6932.36,37793.4243064,5.45174,19,32,20,31,2,1,1,1,1
224,1331,7843.53,45570.54065409,5.809953,19,25,21,32,3,2,1,2,2
225,1464,8754.7,6728.4597038,0.768554,19,26,16,33,4,3,1,3,3
226,1597,9665.87,72.45536152000001,0.007496,19,27,17,34,5,4,2,4,4
227,1730,10576.04,63.265871280000006,0.005982,19,28,18,1,1,5,1,5,5
228,1863,11487.21,15804.73531455,1.375855,19,29,13,2,2,6,1,6,6
229,421,1503.47,8203.03906637,5.456071,20,34,29,6,1,1,1,2,1
230,561,2414.64,14019.07627824,5.805866,20,35,30,7,2,2,1,3,2
231,701,3325.81,2551.86740652,0.767292,20,36,25,8,3,3,1,4,3
232,841,4236.98,31.67989946,0.007477,20,37,26,9,4,4,2,5,4
233,981,5147.15,30.728485499999994,0.00597,20,38,27,10,5,5,1,6,5
234,1121,6058.32,8333.140401839999,1.375487,20,39,22,11,1,6,1,1,6
235,1261,6969.49,38026.03227379,5.456071,20,40,23,12,2,1,1,2,1
236,1401,7880.66,45754.05595156,5.805866,20,33,24,35,3,2,1,3,2
237,1541,8791.83,6745.90082436,0.767292,20,34,19,36,4,3,1,4,3
238,1681,9702.0,72.541854,0.007477,20,35,20,37,5,4,2,5,4
239,1821,10613.17,63.3606249,0.00597,20,36,21,13,1,5,1,6,5
240,1961,11524.34,15851.57985358,1.375487,20,37,16,14,2,6,1,1,6
241,442,1540.6,8411.3863672,5.459812,21,5,32,18,1,1,1,3,1
242,589,2451.77,14222.98256116,5.801108,21,6,33,19,2,2,1,4,2
243,736,3362.94,2575.95487002,0.765983,21,7,28,20,3,3,1,5,3
244,883,4273.11,31.86885438,0.007458,21,8,29,21,4,4,2,6,4
245,1030,5184.28,30.88794024,0.005958,21,1,30,22,5,5,1,1,5
246,1177,6095.45,8383.56611645,1.375381,21,2,25,23,1,6,1,2,6
247,1324,7006.62,38254.82795544,5.459812,21,3,26,24,2,1,1,3,1
248,1471,7917.79,45931.954911320005,5.801108,21,4,27,38,3,2,1,4,2
249,1618,8828.96,6762.833267679999,0.765983,21,5,22,39,4,3,1,5,3
250,1765,9739.13,72.63443154,0.007458,21,6,23,40,5,4,2,6,4
251,1912,10650.3,63.45448739999999,0.005958,21,7,24,25,1,5,1,1,5
252,59,11561.47,15901.42617007,1.375381,21,8,19,26,2,6,1,2,6
253,463,1577.73,8619.0601035,5.46295,22,13,35,30,1,1,1,4,1
254,617,2488.9,14424.8903521,5.795689,22,14,36,31,2,2,1,5,2
255,771,3399.07,2599.03769224,0.764632,22,15,31,32,3,3,1,6,3
256,925,4310.24,32.0681856,0.00744,22,16,32,33,4,4,2,1,4
257,1079,5221.41,31.05694668,0.005948,22,9,33,34,5,5,1,2,5
258,1233,6132.58,8435.59069546,1.375537,22,10,28,1,1,6,1,3,6
259,1387,7043.75,38479.6540625,5.46295,22,11,29,2,2,1,1,4,1
260,1541,7954.92,46104.24233988,5.795689,22,12,30,3,3,2,1,5,2
261,1695,8865.09,6778.53149688,0.764632,22,13,25,4,4,3,1,6,3
262,1849,9776.26,72.73537440000001,0.00744,22,14,26,5,5,4,2,1,4
263,3,10687.43,63.56883364,0.005948,22,15,27,6,1,5,1,2,5
264,157,11598.6,15954.3034482,1.375537,22,16,22,7,2,6,1,3,6
265,484,1614.86,8825.97049906,5.465471,23,21,38,11,1,1,1,5,1
266,645,2525.03,14618.97681375,5.789625,23,22,39,12,2,2,1,6,2
267,806,3436.2,2622.6521604,0.763242,23,23,34,35,3,3,1,1,3
268,967,4347.37,32.26183277,0.007421,23,24,35,36,4,4,2,2,4
269,1128,5258.54,31.22521052,0.005938,23,17,36,37,5,5,1,3,5
270,1289,6169.71,8489.24949276,1.375956,23,18,31,13,1,6,1,4,6
271,1450,7080.88,38700.34429448,5.465471,23,19,32,14,2,1,1,5,1
272,1611,7991.05,46265.18285625,5.789625,23,20,33,15,3,2,1,6,2
273,1772,8902.22,6794.548197239999,0.763242,23,21,28,16,4,3,1,1,3
274,1933,9813.39,72.82516718999999,0.007421,23,22,29,17,5,4,2,2,4
275,94,10724.56,63.68243728,0.005938,23,23,30,18,1,5,1,3,5
276,255,11635.73,16010.25250788,1.375956,23,24,25,19,2,6,1,4,6
277,505,1651.99,9032.03230635,5.467365,24,29,12,23,1,1,1,6,1
278,673,2562.16,14816.794490959996,5.782931,24,30,40,24,2,2,1,1,2
279,841,3473.33,2646.0522606,0.76182,24,31,37,38,3,3,1,2,3
280,1009,4384.5,32.4584535,0.007403,24,32,38,39,4,4,2,3,4
281,1177,5295.67,31.398027430000003,0.005929,24,25,39,40,5,5,1,4,5
282,1345,6206.84,8544.57180392,1.376638,24,26,34,25,1,6,1,5,6
283,1513,7117.01,38911.29137865,5.467365,24,27,35,26,2,1,1,6,1
284,1681,8028.18,46426.41099558,5.782931,24,28,36,27,3,2,1,1,2
285,1849,8939.35,6810.175617000001,0.76182,24,29,31,28,4,3,1,2,3
286,17,9850.52,72.92339956000001,0.007403,24,30,32,29,5,4,2,3,4
287,185,10761.69,63.80606001,0.005929,24,31,33,30,1,5,1,4,5
288,353,11672.86,16069.30264468,1.376638,24,32,28,31,2,6,1,5,6
289,526,1688.12,9231.69185876,5.468623,25,37,9,1,1,1,1,1,1
290,701,2599.29,15012.52950483,5.775627,25,38,10,2,2,2,1,2,2
291,876,3510.46,2669.24495974,0.760369,25,39,11,3,3,3,1,3,3
292,1051,4421.63,32.65373755,0.007385,25,40,12,4,4,4,2,4,4
293,1226,5332.8,31.5755088,0.005921,25,33,40,5,5,5,1,5,5
294,1401,6243.97,8601.56194863,1.377579,25,34,37,6,1,6,1,6,6
295,1576,7154.14,39123.29454922,5.468623,25,35,38,7,2,1,1,1,1
296,1751,8065.31,46582.22219937,5.775627,25,36,39,8,3,2,1,2,2
297,1926,8976.48,6825.43712112,0.760369,25,37,34,9,4,3,1,3,3
298,101,9887.65,73.02029525,0.007385,25,38,35,10,5,4,2,4,4
299,276,10798.82,63.93981322,0.005921,25,39,36,11,1,5,1,5,5
300,451,11709.99,16131.43631421,1.377579,25,40,31,12,2,6,1,6,6
301,547,1725.25,9435.80458475,5.469239,26,8,6,13,1,1,1,2,1
302,729,2636.42,15206.16399944,5.767732,26,1,7,14,2,2,1,3,2
303,911,3547.59,2692.24476546,0.758894,26,2,8,15,3,3,1,4,3
304,1093,4458.76,32.852143680000005,0.007368,26,3,9,16,4,4,2,5,4
305,1275,5369.93,31.76313595,0.005915,26,4,10,17,5,5,1,6,5
306,1457,6280.1,8658.8574377,1.378777,26,5,11,18,1,6,1,1,6
307,1639,7191.27,39330.77434353,5.469239,26,6,12,19,2,1,1,2,1
308,1821,8102.44,46732.70246608,5.767732,26,7,40,20,3,2,1,3,2
309,3,9013.61,6840.37454734,0.758894,26,8,37,21,4,3,1,4,3
310,185,9924.78,73.12577904000001,0.007368,26,1,38,22,5,4,2,5,4
311,367,10835.95,64.09464425,0.005915,26,2,39,23,1,5,1,6,5
312,549,11746.12,16195.28009524,1.378777,26,3,34,24,2,6,1,1,6
313,568,1762.38,9638.82279504,5.469208,27,16,3,25,1,1,1,3,1
314,757,2673.55,15397.69898205,5.759271,27,9,4,26,2,2,1,4,2
315,946,3584.72,2715.066928,0.7574,27,10,5,27,3,3,1,5,3
316,1135,4495.89,33.053783280000005,0.007352,27,11,6,28,4,4,2,6,4
317,1324,5406.06,31.944408540000005,0.005909,27,12,7,29,5,5,1,1,5
318,1513,6317.23,8719.224045669998,1.380229,27,13,8,30,1,6,1,2,6
319,1702,7228.4,39533.6231072,5.469208,27,14,9,31,2,1,1,3,1
320,1891,8139.57,46877.98945347,5.759271,27,15,10,32,3,2,1,4,2
321,80,9050.74,6855.030476,0.7574,27,16,11,33,4,3,1,5,3
322,269,9961.91,73.23996232,0.007352,27,9,12,34,5,4,2,6,4
323,458,10872.08,64.24312072000001,0.005909,27,10,40,1,1,5,1,1,5
324,647,11783.25,16263.583364249998,1.380229,27,11,37,2,2,6,1,2,6
325,589,1799.51,9840.67082128,5.468528,28,24,15,6,1,1,1,4,1
326,785,2710.68,15587.13375156,5.750267,28,17,1,7,2,2,1,5,2
327,981,3621.85,2737.7274402,0.755892,28,18,2,8,3,3,1,6,3
328,1177,4532.02,33.246898720000004,0.007336,28,19,3,9,4,4,2,1,4
329,1373,5443.19,32.13659376,0.005904,28,20,4,10,5,5,1,2,5
330,1569,6354.36,8781.280714800001,1.38193,28,21,5,11,1,6,1,3,6
331,1765,7265.53,39731.75423984,5.468528,28,22,6,12,2,1,1,4,1
332,1961,8176.7,47018.2081789,5.750267,28,23,7,35,3,2,1,5,2
333,157,9087.87,6869.44823004,0.755892,28,24,8,36,4,3,1,6,3
334,353,9998.04,73.34562144,0.007336,28,17,9,37,5,4,2,1,4
335,549,10909.21,64.40797584,0.005904,28,18,10,13,1,5,1,2,5
336,745,11820.38,16334.9377334,1.38193,28,19,11,14,2,6,1,3,6
337,610,1836.64,10041.278208000002,5.4672,29,32,18,18,1,1,1,5,1
338,813,2747.81,15774.48476188,5.740748,29,25,13,19,2,2,1,6,2
339,1016,3658.98,2760.2430375,0.754375,29,26,14,20,3,3,1,1,3
340,1219,4569.15,33.446178,0.00732,29,27,15,21,4,4,2,2,4
341,1422,5480.32,32.33936832,0.005901,29,28,1,22,5,5,1,3,5
342,1625,6391.49,8845.01683226,1.383874,29,29,2,23,1,6,1,4,6
343,1828,7302.66,39925.102752,5.4672,29,30,3,24,2,1,1,5,1
344,31,8213.83,47153.52814484,5.740748,29,31,4,38,3,2,1,6,2
345,234,9124.0,6882.9175000000005,0.754375,29,32,5,39,4,3,1,1,3
346,437,10035.17,73.4574444,0.00732,29,25,6,40,5,4,2,2,4
347,640,10946.34,64.59435234,0.005901,29,26,7,25,1,5,1,3,5
348,843,11857.51,16409.29979374,1.383874,29,27,8,26,2,6,1,4,6
349,631,1873.77,10240.57277448,5.465224,30,40,21,30,1,1,1,6,1
350,841,2784.94,15959.772625480002,5.730742,30,33,16,31,2,2,1,1,2
